Run Number,Trace Number,Object.Slot,Timestep,Slot Value,Slot Name,Slot Name with Unit,Year,Month
1,1,Powell.Pool Elevation,01-31-2024 23:59:00,3569.97,Pool Elevation,Pool Elevation (ft),2024,January
1,1,Powell.Pool Elevation,02-29-2024 23:59:00,3566.97,Pool Elevation,Pool Elevation (ft),2024,February
1,1,Powell.Pool Elevation,03-31-2024 23:59:00,3564.51,Pool Elevation,Pool Elevation (ft),2024,March
1,1,Powell.Pool Elevation,04-30-2024 23:59:00,3567.53,Pool Elevation,Pool Elevation (ft),2024,April
1,1,Powell.Pool Elevation,05-31-2024 23:59:00,3581.38,Pool Elevation,Pool Elevation (ft),2024,May
1,1,Powell.Pool Elevation,06-30-2024 23:59:00,3599.46,Pool Elevation,Pool Elevation (ft),2024,June
1,1,Powell.Pool Elevation,07-31-2024 23:59:00,3599.17,Pool Elevation,Pool Elevation (ft),2024,July
1,1,Powell.Pool Elevation,08-31-2024 23:59:00,3596.12,Pool Elevation,Pool Elevation (ft),2024,August
1,1,Powell.Pool Elevation,09-30-2024 23:59:00,3595.67,Pool Elevation,Pool Elevation (ft),2024,September
1,1,Powell.Pool Elevation,10-31-2024 23:59:00,3596.12,Pool Elevation,Pool Elevation (ft),2024,October
1,1,Powell.Pool Elevation,11-30-2024 23:59:00,3594.84,Pool Elevation,Pool Elevation (ft),2024,November
1,1,Powell.Pool Elevation,12-31-2024 23:59:00,3592.59,Pool Elevation,Pool Elevation (ft),2024,December
1,1,Powell.Pool Elevation,01-31-2025 23:59:00,3588.62,Pool Elevation,Pool Elevation (ft),2025,January
1,1,Powell.Pool Elevation,02-28-2025 23:59:00,3585.51,Pool Elevation,Pool Elevation (ft),2025,February
1,1,Powell.Pool Elevation,03-31-2025 23:59:00,3584.56,Pool Elevation,Pool Elevation (ft),2025,March
1,1,Powell.Pool Elevation,04-30-2025 23:59:00,3585.76,Pool Elevation,Pool Elevation (ft),2025,April
1,1,Powell.Pool Elevation,05-31-2025 23:59:00,3592.47,Pool Elevation,Pool Elevation (ft),2025,May
1,1,Powell.Pool Elevation,06-30-2025 23:59:00,3593.27,Pool Elevation,Pool Elevation (ft),2025,June
1,1,Powell.Pool Elevation,07-31-2025 23:59:00,3589.91,Pool Elevation,Pool Elevation (ft),2025,July
1,1,Powell.Pool Elevation,08-31-2025 23:59:00,3584.31,Pool Elevation,Pool Elevation (ft),2025,August
1,1,Powell.Pool Elevation,09-30-2025 23:59:00,3582.30,Pool Elevation,Pool Elevation (ft),2025,September
1,1,Powell.Pool Elevation,10-31-2025 23:59:00,3579.44,Pool Elevation,Pool Elevation (ft),2025,October
1,1,Powell.Pool Elevation,11-30-2025 23:59:00,3577.47,Pool Elevation,Pool Elevation (ft),2025,November
1,1,Powell.Pool Elevation,12-31-2025 23:59:00,3573.64,Pool Elevation,Pool Elevation (ft),2025,December
1,1,Powell.Pool Elevation,01-31-2026 23:59:00,3568.66,Pool Elevation,Pool Elevation (ft),2026,January
1,1,Powell.Pool Elevation,02-28-2026 23:59:00,3564.98,Pool Elevation,Pool Elevation (ft),2026,February
1,1,Powell.Pool Elevation,03-31-2026 23:59:00,3562.08,Pool Elevation,Pool Elevation (ft),2026,March
1,1,Powell.Pool Elevation,04-30-2026 23:59:00,3561.73,Pool Elevation,Pool Elevation (ft),2026,April
1,1,Powell.Pool Elevation,05-31-2026 23:59:00,3576.09,Pool Elevation,Pool Elevation (ft),2026,May
1,1,Powell.Pool Elevation,06-30-2026 23:59:00,3593.41,Pool Elevation,Pool Elevation (ft),2026,June
1,1,Powell.Pool Elevation,07-31-2026 23:59:00,3592.44,Pool Elevation,Pool Elevation (ft),2026,July
1,1,Powell.Pool Elevation,08-31-2026 23:59:00,3587.15,Pool Elevation,Pool Elevation (ft),2026,August
1,1,Powell.Pool Elevation,09-30-2026 23:59:00,3584.50,Pool Elevation,Pool Elevation (ft),2026,September
1,1,Powell.Pool Elevation,10-31-2026 23:59:00,3583.16,Pool Elevation,Pool Elevation (ft),2026,October
1,1,Powell.Pool Elevation,11-30-2026 23:59:00,3581.05,Pool Elevation,Pool Elevation (ft),2026,November
1,1,Powell.Pool Elevation,12-31-2026 23:59:00,3578.04,Pool Elevation,Pool Elevation (ft),2026,December
1,1,Powell.Pool Elevation,01-31-2027 23:59:00,3575.00,Pool Elevation,Pool Elevation (ft),2027,January
1,1,Powell.Pool Elevation,02-28-2027 23:59:00,3571.99,Pool Elevation,Pool Elevation (ft),2027,February
1,1,Powell.Pool Elevation,03-31-2027 23:59:00,3569.88,Pool Elevation,Pool Elevation (ft),2027,March
1,1,Powell.Pool Elevation,04-30-2027 23:59:00,3575.16,Pool Elevation,Pool Elevation (ft),2027,April
1,1,Powell.Pool Elevation,05-31-2027 23:59:00,3590.35,Pool Elevation,Pool Elevation (ft),2027,May
1,1,Powell.Pool Elevation,06-30-2027 23:59:00,3598.90,Pool Elevation,Pool Elevation (ft),2027,June
1,1,Powell.Pool Elevation,07-31-2027 23:59:00,3597.18,Pool Elevation,Pool Elevation (ft),2027,July
1,1,Powell.Pool Elevation,08-31-2027 23:59:00,3593.30,Pool Elevation,Pool Elevation (ft),2027,August
1,1,Powell.Pool Elevation,09-30-2027 23:59:00,3590.58,Pool Elevation,Pool Elevation (ft),2027,September
1,1,Powell.Pool Elevation,10-31-2027 23:59:00,3596.37,Pool Elevation,Pool Elevation (ft),2027,October
1,1,Powell.Pool Elevation,11-30-2027 23:59:00,3595.10,Pool Elevation,Pool Elevation (ft),2027,November
1,1,Powell.Pool Elevation,12-31-2027 23:59:00,3592.29,Pool Elevation,Pool Elevation (ft),2027,December
1,1,Powell.Pool Elevation,01-31-2028 23:59:00,3587.95,Pool Elevation,Pool Elevation (ft),2028,January
1,1,Powell.Pool Elevation,02-29-2028 23:59:00,3584.57,Pool Elevation,Pool Elevation (ft),2028,February
1,1,Powell.Pool Elevation,03-31-2028 23:59:00,3582.71,Pool Elevation,Pool Elevation (ft),2028,March
1,1,Powell.Pool Elevation,04-30-2028 23:59:00,3583.00,Pool Elevation,Pool Elevation (ft),2028,April
1,1,Powell.Pool Elevation,05-31-2028 23:59:00,3590.77,Pool Elevation,Pool Elevation (ft),2028,May
1,1,Powell.Pool Elevation,06-30-2028 23:59:00,3592.90,Pool Elevation,Pool Elevation (ft),2028,June
1,1,Powell.Pool Elevation,07-31-2028 23:59:00,3589.49,Pool Elevation,Pool Elevation (ft),2028,July
1,1,Powell.Pool Elevation,08-31-2028 23:59:00,3583.93,Pool Elevation,Pool Elevation (ft),2028,August
1,1,Powell.Pool Elevation,09-30-2028 23:59:00,3580.01,Pool Elevation,Pool Elevation (ft),2028,September
1,1,Powell.Pool Elevation,10-31-2028 23:59:00,3577.81,Pool Elevation,Pool Elevation (ft),2028,October
1,1,Powell.Pool Elevation,11-30-2028 23:59:00,3576.43,Pool Elevation,Pool Elevation (ft),2028,November
1,1,Powell.Pool Elevation,12-31-2028 23:59:00,3573.69,Pool Elevation,Pool Elevation (ft),2028,December
1,1,Powell.Pool Elevation,01-31-2029 23:59:00,3569.97,Pool Elevation,Pool Elevation (ft),2029,January
1,1,Powell.Pool Elevation,02-28-2029 23:59:00,3567.44,Pool Elevation,Pool Elevation (ft),2029,February
1,1,Powell.Pool Elevation,03-31-2029 23:59:00,3565.71,Pool Elevation,Pool Elevation (ft),2029,March
1,1,Powell.Pool Elevation,04-30-2029 23:59:00,3565.78,Pool Elevation,Pool Elevation (ft),2029,April
1,1,Powell.Pool Elevation,05-31-2029 23:59:00,3579.32,Pool Elevation,Pool Elevation (ft),2029,May
1,1,Powell.Pool Elevation,06-30-2029 23:59:00,3596.55,Pool Elevation,Pool Elevation (ft),2029,June
1,1,Powell.Pool Elevation,07-31-2029 23:59:00,3596.27,Pool Elevation,Pool Elevation (ft),2029,July
1,1,Powell.Pool Elevation,08-31-2029 23:59:00,3591.98,Pool Elevation,Pool Elevation (ft),2029,August
1,1,Powell.Pool Elevation,09-30-2029 23:59:00,3590.91,Pool Elevation,Pool Elevation (ft),2029,September
1,1,Powell.Pool Elevation,10-31-2029 23:59:00,3589.35,Pool Elevation,Pool Elevation (ft),2029,October
1,1,Powell.Pool Elevation,11-30-2029 23:59:00,3586.93,Pool Elevation,Pool Elevation (ft),2029,November
1,1,Powell.Pool Elevation,12-31-2029 23:59:00,3583.55,Pool Elevation,Pool Elevation (ft),2029,December
1,1,Powell.Pool Elevation,01-31-2030 23:59:00,3578.46,Pool Elevation,Pool Elevation (ft),2030,January
1,1,Powell.Pool Elevation,02-28-2030 23:59:00,3574.75,Pool Elevation,Pool Elevation (ft),2030,February
1,1,Powell.Pool Elevation,03-31-2030 23:59:00,3570.48,Pool Elevation,Pool Elevation (ft),2030,March
1,1,Powell.Pool Elevation,04-30-2030 23:59:00,3567.24,Pool Elevation,Pool Elevation (ft),2030,April
1,1,Powell.Pool Elevation,05-31-2030 23:59:00,3572.13,Pool Elevation,Pool Elevation (ft),2030,May
1,1,Powell.Pool Elevation,06-30-2030 23:59:00,3575.59,Pool Elevation,Pool Elevation (ft),2030,June
1,1,Powell.Pool Elevation,07-31-2030 23:59:00,3572.19,Pool Elevation,Pool Elevation (ft),2030,July
1,1,Powell.Pool Elevation,08-31-2030 23:59:00,3567.43,Pool Elevation,Pool Elevation (ft),2030,August
1,1,Powell.Pool Elevation,09-30-2030 23:59:00,3568.90,Pool Elevation,Pool Elevation (ft),2030,September
1,1,Powell.Pool Elevation,10-31-2030 23:59:00,3567.08,Pool Elevation,Pool Elevation (ft),2030,October
1,1,Powell.Pool Elevation,11-30-2030 23:59:00,3566.20,Pool Elevation,Pool Elevation (ft),2030,November
1,1,Powell.Pool Elevation,12-31-2030 23:59:00,3562.87,Pool Elevation,Pool Elevation (ft),2030,December
1,1,Powell.Pool Elevation,01-31-2031 23:59:00,3558.59,Pool Elevation,Pool Elevation (ft),2031,January
1,1,Powell.Pool Elevation,02-28-2031 23:59:00,3555.76,Pool Elevation,Pool Elevation (ft),2031,February
1,1,Powell.Pool Elevation,03-31-2031 23:59:00,3553.17,Pool Elevation,Pool Elevation (ft),2031,March
1,1,Powell.Pool Elevation,04-30-2031 23:59:00,3555.50,Pool Elevation,Pool Elevation (ft),2031,April
1,1,Powell.Pool Elevation,05-31-2031 23:59:00,3569.06,Pool Elevation,Pool Elevation (ft),2031,May
1,1,Powell.Pool Elevation,06-30-2031 23:59:00,3587.43,Pool Elevation,Pool Elevation (ft),2031,June
1,1,Powell.Pool Elevation,07-31-2031 23:59:00,3587.04,Pool Elevation,Pool Elevation (ft),2031,July
1,1,Powell.Pool Elevation,08-31-2031 23:59:00,3584.45,Pool Elevation,Pool Elevation (ft),2031,August
1,1,Powell.Pool Elevation,09-30-2031 23:59:00,3585.42,Pool Elevation,Pool Elevation (ft),2031,September
1,1,Powell.Pool Elevation,10-31-2031 23:59:00,3586.36,Pool Elevation,Pool Elevation (ft),2031,October
1,1,Powell.Pool Elevation,11-30-2031 23:59:00,3585.30,Pool Elevation,Pool Elevation (ft),2031,November
1,1,Powell.Pool Elevation,12-31-2031 23:59:00,3583.13,Pool Elevation,Pool Elevation (ft),2031,December
1,1,Powell.Pool Elevation,01-31-2032 23:59:00,3579.23,Pool Elevation,Pool Elevation (ft),2032,January
1,1,Powell.Pool Elevation,02-29-2032 23:59:00,3576.15,Pool Elevation,Pool Elevation (ft),2032,February
1,1,Powell.Pool Elevation,03-31-2032 23:59:00,3574.20,Pool Elevation,Pool Elevation (ft),2032,March
1,1,Powell.Pool Elevation,04-30-2032 23:59:00,3572.21,Pool Elevation,Pool Elevation (ft),2032,April
1,1,Powell.Pool Elevation,05-31-2032 23:59:00,3580.17,Pool Elevation,Pool Elevation (ft),2032,May
1,1,Powell.Pool Elevation,06-30-2032 23:59:00,3586.69,Pool Elevation,Pool Elevation (ft),2032,June
1,1,Powell.Pool Elevation,07-31-2032 23:59:00,3583.70,Pool Elevation,Pool Elevation (ft),2032,July
