Run Number,Trace Number,Object.Slot,Timestep,Slot Value,Slot Name with Unit,Year,Month
1,1,Mead.Pool Elevation,01-31-2024 23:59:00,1069.99,Pool Elevation (ft),2024,January
1,1,Mead.Pool Elevation,02-29-2024 23:59:00,1073.69,Pool Elevation (ft),2024,February
1,1,Mead.Pool Elevation,03-31-2024 23:59:00,1075.27,Pool Elevation (ft),2024,March
1,1,Mead.Pool Elevation,04-30-2024 23:59:00,1076.57,Pool Elevation (ft),2024,April
1,1,Mead.Pool Elevation,05-31-2024 23:59:00,1078.62,Pool Elevation (ft),2024,May
1,1,Mead.Pool Elevation,06-30-2024 23:59:00,1079.51,Pool Elevation (ft),2024,June
1,1,Mead.Pool Elevation,07-31-2024 23:59:00,1082.98,Pool Elevation (ft),2024,July
1,1,Mead.Pool Elevation,08-31-2024 23:59:00,1087.70,Pool Elevation (ft),2024,August
1,1,Mead.Pool Elevation,09-30-2024 23:59:00,1090.99,Pool Elevation (ft),2024,September
1,1,Mead.Pool Elevation,10-31-2024 23:59:00,1095.55,Pool Elevation (ft),2024,October
1,1,Mead.Pool Elevation,11-30-2024 23:59:00,1097.87,Pool Elevation (ft),2024,November
1,1,Mead.Pool Elevation,12-31-2024 23:59:00,1101.39,Pool Elevation (ft),2024,December
1,1,Mead.Pool Elevation,01-31-2025 23:59:00,1102.68,Pool Elevation (ft),2025,January
1,1,Mead.Pool Elevation,02-28-2025 23:59:00,1103.24,Pool Elevation (ft),2025,February
1,1,Mead.Pool Elevation,03-31-2025 23:59:00,1102.07,Pool Elevation (ft),2025,March
1,1,Mead.Pool Elevation,04-30-2025 23:59:00,1100.42,Pool Elevation (ft),2025,April
1,1,Mead.Pool Elevation,05-31-2025 23:59:00,1099.52,Pool Elevation (ft),2025,May
1,1,Mead.Pool Elevation,06-30-2025 23:59:00,1098.25,Pool Elevation (ft),2025,June
1,1,Mead.Pool Elevation,07-31-2025 23:59:00,1098.97,Pool Elevation (ft),2025,July
1,1,Mead.Pool Elevation,08-31-2025 23:59:00,1100.72,Pool Elevation (ft),2025,August
1,1,Mead.Pool Elevation,09-30-2025 23:59:00,1102.25,Pool Elevation (ft),2025,September
1,1,Mead.Pool Elevation,10-31-2025 23:59:00,1106.50,Pool Elevation (ft),2025,October
1,1,Mead.Pool Elevation,11-30-2025 23:59:00,1109.09,Pool Elevation (ft),2025,November
1,1,Mead.Pool Elevation,12-31-2025 23:59:00,1111.28,Pool Elevation (ft),2025,December
1,1,Mead.Pool Elevation,01-31-2026 23:59:00,1112.60,Pool Elevation (ft),2026,January
1,1,Mead.Pool Elevation,02-28-2026 23:59:00,1112.64,Pool Elevation (ft),2026,February
1,1,Mead.Pool Elevation,03-31-2026 23:59:00,1111.79,Pool Elevation (ft),2026,March
