Run Number,Trace Number,Object.Slot,Timestep,Slot Value,Slot Name,Slot Name with Unit,Year,Month
1,1,Mead.Pool Elevation,01-31-2024 23:59:00,1068.99,Pool Elevation,Pool Elevation (ft),2024,January
1,1,Mead.Pool Elevation,02-29-2024 23:59:00,1070.67,Pool Elevation,Pool Elevation (ft),2024,February
1,1,Mead.Pool Elevation,03-31-2024 23:59:00,1069.46,Pool Elevation,Pool Elevation (ft),2024,March
1,1,Mead.Pool Elevation,04-30-2024 23:59:00,1067.58,Pool Elevation,Pool Elevation (ft),2024,April
1,1,Mead.Pool Elevation,05-31-2024 23:59:00,1066.78,Pool Elevation,Pool Elevation (ft),2024,May
1,1,Mead.Pool Elevation,06-30-2024 23:59:00,1065.11,Pool Elevation,Pool Elevation (ft),2024,June
1,1,Mead.Pool Elevation,07-31-2024 23:59:00,1066.06,Pool Elevation,Pool Elevation (ft),2024,July
1,1,Mead.Pool Elevation,08-31-2024 23:59:00,1068.52,Pool Elevation,Pool Elevation (ft),2024,August
1,1,Mead.Pool Elevation,09-30-2024 23:59:00,1070.16,Pool Elevation,Pool Elevation (ft),2024,September
1,1,Mead.Pool Elevation,10-31-2024 23:59:00,1073.49,Pool Elevation,Pool Elevation (ft),2024,October
1,1,Mead.Pool Elevation,11-30-2024 23:59:00,1074.89,Pool Elevation,Pool Elevation (ft),2024,November
1,1,Mead.Pool Elevation,12-31-2024 23:59:00,1077.64,Pool Elevation,Pool Elevation (ft),2024,December
1,1,Mead.Pool Elevation,01-31-2025 23:59:00,1080.63,Pool Elevation,Pool Elevation (ft),2025,January
1,1,Mead.Pool Elevation,02-28-2025 23:59:00,1082.47,Pool Elevation,Pool Elevation (ft),2025,February
1,1,Mead.Pool Elevation,03-31-2025 23:59:00,1081.98,Pool Elevation,Pool Elevation (ft),2025,March
1,1,Mead.Pool Elevation,04-30-2025 23:59:00,1080.90,Pool Elevation,Pool Elevation (ft),2025,April
1,1,Mead.Pool Elevation,05-31-2025 23:59:00,1080.64,Pool Elevation,Pool Elevation (ft),2025,May
1,1,Mead.Pool Elevation,06-30-2025 23:59:00,1079.53,Pool Elevation,Pool Elevation (ft),2025,June
1,1,Mead.Pool Elevation,07-31-2025 23:59:00,1080.09,Pool Elevation,Pool Elevation (ft),2025,July
1,1,Mead.Pool Elevation,08-31-2025 23:59:00,1081.61,Pool Elevation,Pool Elevation (ft),2025,August
1,1,Mead.Pool Elevation,09-30-2025 23:59:00,1083.24,Pool Elevation,Pool Elevation (ft),2025,September
