Run Number,Trace Number,Object.Slot,Timestep,Slot Value,Object Name,Slot Name with Unit,Year,Month
1,1,Mead.Pool Elevation,1/31/2024 23:59,1066.58,Mead,Pool Elevation (ft),2024,January
1,1,Mead.Pool Elevation,2/29/2024 23:59,1066.86,Mead,Pool Elevation (ft),2024,February
1,1,Mead.Pool Elevation,3/31/2024 23:59,1064.55,Mead,Pool Elevation (ft),2024,March
1,1,Mead.Pool Elevation,4/30/2024 23:59,1061.66,Mead,Pool Elevation (ft),2024,April
1,1,Mead.Pool Elevation,5/31/2024 23:59,1059.49,Mead,Pool Elevation (ft),2024,May
1,1,Mead.Pool Elevation,6/30/2024 23:59,1056.06,Mead,Pool Elevation (ft),2024,June
1,1,Mead.Pool Elevation,7/31/2024 23:59,1055.31,Mead,Pool Elevation (ft),2024,July
1,1,Mead.Pool Elevation,8/31/2024 23:59,1056.48,Mead,Pool Elevation (ft),2024,August
1,1,Mead.Pool Elevation,9/30/2024 23:59,1056.75,Mead,Pool Elevation (ft),2024,September
1,1,Mead.Pool Elevation,10/31/2024 23:59,1059.6,Mead,Pool Elevation (ft),2024,October
1,1,Mead.Pool Elevation,11/30/2024 23:59,1060.29,Mead,Pool Elevation (ft),2024,November
1,1,Mead.Pool Elevation,12/31/2024 23:59,1062.52,Mead,Pool Elevation (ft),2024,December
1,1,Mead.Pool Elevation,1/31/2025 23:59,1064.44,Mead,Pool Elevation (ft),2025,January
1,1,Mead.Pool Elevation,2/28/2025 23:59,1065.42,Mead,Pool Elevation (ft),2025,February
1,1,Mead.Pool Elevation,3/31/2025 23:59,1064.11,Mead,Pool Elevation (ft),2025,March
1,1,Mead.Pool Elevation,4/30/2025 23:59,1061.8,Mead,Pool Elevation (ft),2025,April
1,1,Mead.Pool Elevation,5/31/2025 23:59,1059.99,Mead,Pool Elevation (ft),2025,May
1,1,Mead.Pool Elevation,6/30/2025 23:59,1057.88,Mead,Pool Elevation (ft),2025,June
1,1,Mead.Pool Elevation,7/31/2025 23:59,1058.18,Mead,Pool Elevation (ft),2025,July
1,1,Mead.Pool Elevation,8/31/2025 23:59,1060.3,Mead,Pool Elevation (ft),2025,August
1,1,Mead.Pool Elevation,9/30/2025 23:59,1062.05,Mead,Pool Elevation (ft),2025,September
1,1,Mead.Pool Elevation,10/31/2025 23:59,1066.46,Mead,Pool Elevation (ft),2025,October
1,1,Mead.Pool Elevation,11/30/2025 23:59,1069.15,Mead,Pool Elevation (ft),2025,November
1,1,Mead.Pool Elevation,12/31/2025 23:59,1071.4,Mead,Pool Elevation (ft),2025,December
1,1,Mead.Pool Elevation,1/31/2026 23:59,1073.12,Mead,Pool Elevation (ft),2026,January
1,1,Mead.Pool Elevation,2/28/2026 23:59,1073.17,Mead,Pool Elevation (ft),2026,February
1,1,Mead.Pool Elevation,3/31/2026 23:59,1071.99,Mead,Pool Elevation (ft),2026,March
1,1,Mead.Pool Elevation,4/30/2026 23:59,1069.05,Mead,Pool Elevation (ft),2026,April
1,1,Mead.Pool Elevation,5/31/2026 23:59,1066.79,Mead,Pool Elevation (ft),2026,May
